Role,Skills
Data Science,python machine learning pandas numpy statistics deep learning sql visualization
Web Designing,html css javascript react bootstrap ui ux
Java Developer,java spring boot sql oops microservices
Python Developer,python django flask api pandas numpy
DevOps Engineer,docker kubernetes aws linux ci cd terraform
Testing,selenium manual testing automation junit testng
HR,recruitment communication management leadership onboarding
Network Engineer,networking tcp ip routing switching firewall cloud
Database,sql mysql oracle database tuning plsql
Business Analyst,excel sql analytics visualization communication
